Timestamp,Active (W)
2022-11-08 12:14:05,0.0
2022-11-08 12:14:06,0.0
2022-11-08 12:14:07,0.0
2022-11-08 12:14:08,0.0
2022-11-08 12:14:09,0.0
2022-11-08 12:14:10,0.0
2022-11-08 12:14:11,0.0
2022-11-08 12:14:12,0.0
2022-11-08 12:14:13,0.0
2022-11-08 12:14:14,0.0
2022-11-08 12:14:15,0.0
2022-11-08 12:14:16,0.0
2022-11-08 12:14:17,0.0
2022-11-08 12:14:18,0.0
2022-11-08 12:14:19,0.0
2022-11-08 12:14:20,0.0
2022-11-08 12:14:21,0.0
2022-11-08 12:14:22,0.0
2022-11-08 12:14:23,0.0
2022-11-08 12:14:24,0.0
2022-11-08 12:14:25,0.0
2022-11-08 12:14:26,0.0
2022-11-08 12:14:27,0.0
2022-11-08 12:14:28,0.0
2022-11-08 12:14:29,0.0
2022-11-08 12:14:30,0.0
2022-11-08 12:14:31,0.0
2022-11-08 12:14:32,0.0
2022-11-08 12:14:33,0.0
2022-11-08 12:14:34,0.0
2022-11-08 12:14:35,0.0
2022-11-08 12:14:36,0.0
2022-11-08 12:14:37,0.0
2022-11-08 12:14:38,0.0
2022-11-08 12:14:39,0.0
2022-11-08 12:14:40,0.0
2022-11-08 12:14:41,0.0
2022-11-08 12:14:42,0.0
2022-11-08 12:14:43,0.0
2022-11-08 12:14:44,0.0
2022-11-08 12:14:45,0.0
2022-11-08 12:14:46,0.0
2022-11-08 12:14:47,0.0
2022-11-08 12:14:48,0.0
2022-11-08 12:14:49,0.0
2022-11-08 12:14:50,0.0
2022-11-08 12:14:51,0.0
2022-11-08 12:14:52,0.0
2022-11-08 12:14:53,0.0
2022-11-08 12:14:54,0.0
2022-11-08 12:14:55,0.0
2022-11-08 12:14:56,0.0
2022-11-08 12:14:57,0.0
2022-11-08 12:14:58,0.0
2022-11-08 12:14:59,0.0
2022-11-08 12:15:00,0.0
2022-11-08 12:15:01,0.0
2022-11-08 12:15:02,0.0
2022-11-08 12:15:03,0.0
2022-11-08 12:15:04,0.0
2022-11-08 12:15:05,0.0
2022-11-08 12:15:06,0.0
2022-11-08 12:15:07,0.0
2022-11-08 12:15:08,0.0
2022-11-08 12:15:09,0.0
2022-11-08 12:15:10,0.0
2022-11-08 12:15:11,0.0
2022-11-08 12:15:12,0.0
2022-11-08 12:15:13,0.0
2022-11-08 12:15:14,0.0
2022-11-08 12:15:15,0.0
2022-11-08 12:15:16,0.0
2022-11-08 12:15:17,0.0
2022-11-08 12:15:18,0.0
2022-11-08 12:15:19,0.0
2022-11-08 12:15:20,0.0
2022-11-08 12:15:21,0.0
2022-11-08 12:15:22,0.0
2022-11-08 12:15:23,0.0
2022-11-08 12:15:24,0.0
2022-11-08 12:15:25,0.0
2022-11-08 12:15:26,0.0
2022-11-08 12:15:27,0.0
2022-11-08 12:15:28,0.0
2022-11-08 12:15:29,0.0
2022-11-08 12:15:30,0.0
2022-11-08 12:15:31,0.0
2022-11-08 12:15:32,0.0
2022-11-08 12:15:33,0.0
2022-11-08 12:15:34,0.0
2022-11-08 12:15:35,0.0
2022-11-08 12:15:36,0.0
2022-11-08 12:15:37,0.0
2022-11-08 12:15:38,0.0
2022-11-08 12:15:39,0.0
2022-11-08 12:15:40,0.0
2022-11-08 12:15:41,0.0
2022-11-08 12:15:42,0.0
2022-11-08 12:15:43,0.0
2022-11-08 12:15:44,0.0
2022-11-08 12:15:45,0.0
2022-11-08 12:15:46,0.0
2022-11-08 12:15:47,0.0
2022-11-08 12:15:48,0.0
2022-11-08 12:15:49,0.0
2022-11-08 12:15:50,0.0
2022-11-08 12:15:51,0.0
2022-11-08 12:15:52,0.0
2022-11-08 12:15:53,0.0
2022-11-08 12:15:54,0.0
2022-11-08 12:15:55,0.0
2022-11-08 12:15:56,0.0
2022-11-08 12:15:57,0.0
2022-11-08 12:15:58,0.0
2022-11-08 12:15:59,0.0
2022-11-08 12:16:00,0.0
2022-11-08 12:16:01,0.0
2022-11-08 12:16:02,0.0
2022-11-08 12:16:03,0.0
2022-11-08 12:16:04,0.0
2022-11-08 12:16:05,0.0
2022-11-08 12:16:06,0.0
2022-11-08 12:16:07,0.0
2022-11-08 12:16:08,0.0
2022-11-08 12:16:09,0.0
2022-11-08 12:16:10,0.0
2022-11-08 12:16:11,0.0
2022-11-08 12:16:12,0.0
2022-11-08 12:16:13,0.0
2022-11-08 12:16:14,0.0
2022-11-08 12:16:15,0.0
2022-11-08 12:16:16,0.0
2022-11-08 12:16:17,0.0
2022-11-08 12:16:18,0.0
2022-11-08 12:16:19,0.0
2022-11-08 12:16:20,0.0
2022-11-08 12:16:21,0.0
2022-11-08 12:16:22,0.0
2022-11-08 12:16:23,0.0
2022-11-08 12:16:24,0.0
2022-11-08 12:16:25,0.0
2022-11-08 12:16:26,0.0
2022-11-08 12:16:27,0.0
2022-11-08 12:16:28,0.0
2022-11-08 12:16:29,0.0
2022-11-08 12:16:30,0.0
2022-11-08 12:16:31,0.0
2022-11-08 12:16:32,0.0
2022-11-08 12:16:33,0.0
2022-11-08 12:16:34,0.0
2022-11-08 12:16:35,0.0
2022-11-08 12:16:36,0.0
2022-11-08 12:16:37,0.0
2022-11-08 12:16:38,0.0
2022-11-08 12:16:39,0.0
2022-11-08 12:16:40,0.0
2022-11-08 12:16:41,0.0
2022-11-08 12:16:42,0.0
2022-11-08 12:16:43,0.0
2022-11-08 12:16:44,0.0
2022-11-08 12:16:45,0.0
2022-11-08 12:16:46,0.0
2022-11-08 12:16:47,0.0
2022-11-08 12:16:48,0.0
2022-11-08 12:16:49,0.0
2022-11-08 12:16:50,0.0
2022-11-08 12:16:51,0.0
2022-11-08 12:16:52,0.0
2022-11-08 12:16:53,0.0
2022-11-08 12:16:54,0.0
2022-11-08 12:16:55,0.0
2022-11-08 12:16:56,0.0
2022-11-08 12:16:57,0.0
2022-11-08 12:16:58,0.0
2022-11-08 12:16:59,0.0
2022-11-08 12:17:00,0.0
2022-11-08 12:17:01,0.0
2022-11-08 12:17:02,0.0
2022-11-08 12:17:03,0.0
2022-11-08 12:17:04,0.0
2022-11-08 12:17:05,0.0
2022-11-08 12:17:06,0.0
2022-11-08 12:17:07,0.0
2022-11-08 12:17:08,0.0
2022-11-08 12:17:09,0.0
2022-11-08 12:17:10,0.0
2022-11-08 12:17:11,0.0
2022-11-08 12:17:12,0.0
2022-11-08 12:17:13,0.0
2022-11-08 12:17:14,0.0
2022-11-08 12:17:15,0.0
2022-11-08 12:17:16,0.0
2022-11-08 12:17:17,0.0
2022-11-08 12:17:18,0.0
2022-11-08 12:17:19,0.0
2022-11-08 12:17:20,0.0
2022-11-08 12:17:21,0.0
2022-11-08 12:17:22,0.0
2022-11-08 12:17:23,0.0
2022-11-08 12:17:24,0.0
2022-11-08 12:17:25,0.0
2022-11-08 12:17:26,0.0
2022-11-08 12:17:27,0.0
2022-11-08 12:17:28,0.0
2022-11-08 12:17:29,0.0
2022-11-08 12:17:30,0.0
2022-11-08 12:17:31,0.0
2022-11-08 12:17:32,0.0
2022-11-08 12:17:33,0.0
2022-11-08 12:17:34,0.0
2022-11-08 12:17:35,0.0
2022-11-08 12:17:36,0.0
2022-11-08 12:17:37,0.0
2022-11-08 12:17:38,0.0
2022-11-08 12:17:39,0.0
2022-11-08 12:17:40,0.0
2022-11-08 12:17:41,0.0
2022-11-08 12:17:42,0.0
2022-11-08 12:17:43,0.0
2022-11-08 12:17:44,0.0
2022-11-08 12:17:45,0.0
2022-11-08 12:17:46,0.0
2022-11-08 12:17:47,0.0
2022-11-08 12:17:48,0.0
2022-11-08 12:17:49,0.0
2022-11-08 12:17:50,0.0
2022-11-08 12:17:51,0.0
2022-11-08 12:17:52,0.0
2022-11-08 12:17:53,0.0
2022-11-08 12:17:54,0.0
2022-11-08 12:17:55,0.0
2022-11-08 12:17:56,0.0
2022-11-08 12:17:57,0.0
2022-11-08 12:17:58,0.0
2022-11-08 12:17:59,0.0
2022-11-08 12:18:00,0.0
2022-11-08 12:18:01,0.0
2022-11-08 12:18:02,0.0
2022-11-08 12:18:03,0.0
2022-11-08 12:18:04,0.0
2022-11-08 12:18:05,0.0
2022-11-08 12:18:06,0.0
2022-11-08 12:18:07,0.0
2022-11-08 12:18:08,0.0
2022-11-08 12:18:09,0.0
2022-11-08 12:18:10,0.0
2022-11-08 12:18:11,0.0
2022-11-08 12:18:12,0.0
2022-11-08 12:18:13,0.0
2022-11-08 12:18:14,0.0
2022-11-08 12:18:15,0.0
2022-11-08 12:18:16,0.0
2022-11-08 12:18:17,0.0
2022-11-08 12:18:18,0.0
2022-11-08 12:18:19,0.0
2022-11-08 12:18:20,0.0
2022-11-08 12:18:21,0.0
2022-11-08 12:18:22,0.0
2022-11-08 12:18:23,0.0
2022-11-08 12:18:24,0.0
2022-11-08 12:18:25,0.0
2022-11-08 12:18:26,0.0
2022-11-08 12:18:27,0.0
2022-11-08 12:18:28,0.0
2022-11-08 12:18:29,0.0
2022-11-08 12:18:30,0.0
2022-11-08 12:18:31,0.0
2022-11-08 12:18:32,0.0
2022-11-08 12:18:33,0.0
2022-11-08 12:18:34,0.0
2022-11-08 12:18:35,0.0
2022-11-08 12:18:36,0.0
2022-11-08 12:18:37,0.0
2022-11-08 12:18:38,0.0
2022-11-08 12:18:39,0.0
2022-11-08 12:18:40,0.0
2022-11-08 12:18:41,0.0
2022-11-08 12:18:42,0.0
2022-11-08 12:18:43,0.0
