Timestamp,Apparent (VA),Active (W)
2022-11-08 16:13:00,11.19,4.14
2022-11-08 16:13:01,10.69,3.82
2022-11-08 16:13:02,10.71,3.75
2022-11-08 16:13:03,10.97,3.95
2022-11-08 16:13:04,11.17,4.08
2022-11-08 16:13:05,10.68,3.86
2022-11-08 16:13:06,10.68,3.75
2022-11-08 16:13:07,10.76,3.82
2022-11-08 16:13:08,12.77,5.44
2022-11-08 16:13:09,32.53,21.65
2022-11-08 16:13:10,26.13,16.09
2022-11-08 16:13:11,26.14,16.26
2022-11-08 16:13:12,26.17,16.05
2022-11-08 16:13:13,26.24,16.36
2022-11-08 16:13:14,26.4,16.36
2022-11-08 16:13:15,26.05,16.09
2022-11-08 16:13:16,26.02,16.02
2022-11-08 16:13:17,25.45,15.87
2022-11-08 16:13:18,25.33,15.7
2022-11-08 16:13:19,25.37,15.88
2022-11-08 16:13:20,26.04,16.87
2022-11-08 16:13:21,307.31,297.18
2022-11-08 16:13:22,226.24,215.72
2022-11-08 16:13:23,361.97,358.01
2022-11-08 16:13:24,162.84,159.36
2022-11-08 16:13:25,164.81,161.38
2022-11-08 16:13:26,162.68,159.28
2022-11-08 16:13:27,162.13,158.62
2022-11-08 16:13:28,162.26,158.74
2022-11-08 16:13:29,162.87,159.33
2022-11-08 16:13:30,1415.86,1412.05
2022-11-08 16:13:31,1932.9,1932.17
2022-11-08 16:13:32,1913.56,1912.83
2022-11-08 16:13:33,1901.19,1900.46
2022-11-08 16:13:34,1889.37,1888.64
2022-11-08 16:13:35,1881.88,1881.13
2022-11-08 16:13:36,1875.88,1875.14
2022-11-08 16:13:37,1872.8,1872.06
2022-11-08 16:13:38,1867.67,1866.95
2022-11-08 16:13:39,1864.81,1864.1
2022-11-08 16:13:40,740.68,735.28
2022-11-08 16:13:41,184.7,178.42
2022-11-08 16:13:42,185.67,179.58
2022-11-08 16:13:43,185.65,179.52
2022-11-08 16:13:44,184.53,178.19
2022-11-08 16:13:45,185.29,178.89
2022-11-08 16:13:46,183.77,177.32
2022-11-08 16:13:47,183.68,177.24
2022-11-08 16:13:48,184.67,178.42
2022-11-08 16:13:49,183.68,177.33
2022-11-08 16:13:50,1261.09,1255.99
2022-11-08 16:13:51,1940.89,1940.65
2022-11-08 16:13:52,1925.97,1925.72
2022-11-08 16:13:53,1913.08,1912.83
2022-11-08 16:13:54,1906.43,1906.18
2022-11-08 16:13:55,1896.21,1895.97
2022-11-08 16:13:56,1887.71,1887.46
2022-11-08 16:13:57,1885.87,1885.62
2022-11-08 16:13:58,1881.89,1881.64
2022-11-08 16:13:59,1779.7,1775.97
2022-11-08 16:14:00,185.92,179.53
2022-11-08 16:14:01,184.87,178.94
2022-11-08 16:14:02,184.14,178.35
2022-11-08 16:14:03,183.27,177.29
2022-11-08 16:14:04,183.46,177.5
2022-11-08 16:14:05,184.39,178.52
2022-11-08 16:14:06,184.76,178.94
2022-11-08 16:14:07,185.36,179.51
2022-11-08 16:14:08,184.37,178.46
2022-11-08 16:14:09,247.27,238.46
2022-11-08 16:14:10,1948.56,1948.33
2022-11-08 16:14:11,1931.26,1931.03
2022-11-08 16:14:12,1916.14,1915.91
2022-11-08 16:14:13,1906.2,1905.98
2022-11-08 16:14:14,1898.63,1898.41
2022-11-08 16:14:15,1892.66,1892.42
2022-11-08 16:14:16,1887.47,1887.23
2022-11-08 16:14:17,1882.69,1882.46
2022-11-08 16:14:18,1879.21,1878.97
2022-11-08 16:14:19,1877.1,1876.85
2022-11-08 16:14:20,1863.32,1862.6
2022-11-08 16:14:21,1860.75,1860.02
2022-11-08 16:14:22,1860.62,1859.9
2022-11-08 16:14:23,1856.85,1856.14
2022-11-08 16:14:24,1856.1,1855.38
2022-11-08 16:14:25,1856.05,1855.32
2022-11-08 16:14:26,1854.39,1853.67
2022-11-08 16:14:27,1855.7,1854.98
2022-11-08 16:14:28,1856.58,1855.85
2022-11-08 16:14:29,1853.81,1853.09
2022-11-08 16:14:30,1854.01,1853.3
2022-11-08 16:14:31,1854.73,1854.01
2022-11-08 16:14:32,1855.08,1854.37
2022-11-08 16:14:33,1856.21,1855.48
2022-11-08 16:14:34,1856.39,1855.67
2022-11-08 16:14:35,1855.03,1854.29
2022-11-08 16:14:36,1855.72,1855.0
2022-11-08 16:14:37,1854.14,1853.42
2022-11-08 16:14:38,1854.14,1853.43
2022-11-08 16:14:39,1856.62,1855.9
2022-11-08 16:14:40,1856.57,1855.85
2022-11-08 16:14:41,1855.32,1854.59
2022-11-08 16:14:42,1855.19,1854.46
2022-11-08 16:14:43,1853.62,1852.9
2022-11-08 16:14:44,1854.02,1853.3
2022-11-08 16:14:45,1855.27,1854.54
2022-11-08 16:14:46,1853.2,1852.49
2022-11-08 16:14:47,1853.97,1853.22
2022-11-08 16:14:48,1852.01,1851.31
2022-11-08 16:14:49,1852.99,1852.28
2022-11-08 16:14:50,1853.69,1852.95
2022-11-08 16:14:51,1851.71,1850.97
2022-11-08 16:14:52,1850.03,1849.3
2022-11-08 16:14:53,1850.53,1849.79
2022-11-08 16:14:54,1849.27,1848.52
2022-11-08 16:14:55,1849.43,1848.68
2022-11-08 16:14:56,1848.92,1848.19
2022-11-08 16:14:57,1850.47,1849.72
2022-11-08 16:14:58,1852.1,1851.34
2022-11-08 16:14:59,1849.03,1848.31
2022-11-08 16:15:00,1849.6,1848.88
2022-11-08 16:15:01,1850.64,1849.93
2022-11-08 16:15:02,1852.44,1851.69
2022-11-08 16:15:03,1850.39,1849.67
2022-11-08 16:15:04,1849.55,1848.83
2022-11-08 16:15:05,1849.05,1848.33
2022-11-08 16:15:06,1849.09,1848.37
2022-11-08 16:15:07,1847.84,1847.11
2022-11-08 16:15:08,1848.57,1847.82
2022-11-08 16:15:09,1849.67,1848.92
2022-11-08 16:15:10,1847.66,1846.93
2022-11-08 16:15:11,1846.4,1845.69
2022-11-08 16:15:12,1845.49,1844.76
2022-11-08 16:15:13,1845.51,1844.76
2022-11-08 16:15:14,1845.82,1845.07
2022-11-08 16:15:15,1845.2,1844.44
2022-11-08 16:15:16,1844.58,1843.81
2022-11-08 16:15:17,1846.34,1845.58
2022-11-08 16:15:18,1846.27,1845.48
2022-11-08 16:15:19,1846.25,1845.48
2022-11-08 16:15:20,1845.04,1844.28
2022-11-08 16:15:21,1844.81,1844.05
2022-11-08 16:15:22,1843.32,1842.58
2022-11-08 16:15:23,1843.53,1842.79
2022-11-08 16:15:24,1844.78,1844.02
2022-11-08 16:15:25,1844.01,1843.25
2022-11-08 16:15:26,1844.16,1843.4
2022-11-08 16:15:27,1844.62,1843.86
2022-11-08 16:15:28,1842.63,1841.89
2022-11-08 16:15:29,1844.23,1843.47
2022-11-08 16:15:30,1846.3,1845.54
2022-11-08 16:15:31,1844.84,1844.1
2022-11-08 16:15:32,1845.65,1844.9
2022-11-08 16:15:33,1845.5,1844.75
2022-11-08 16:15:34,1846.13,1845.39
2022-11-08 16:15:35,1845.06,1844.31
2022-11-08 16:15:36,1845.08,1844.32
2022-11-08 16:15:37,1846.96,1846.21
2022-11-08 16:15:38,1843.95,1843.22
2022-11-08 16:15:39,1845.19,1844.45
2022-11-08 16:15:40,1845.65,1844.89
2022-11-08 16:15:41,1844.87,1844.12
2022-11-08 16:15:42,1845.2,1844.44
2022-11-08 16:15:43,1844.5,1843.75
2022-11-08 16:15:44,1845.64,1844.89
2022-11-08 16:15:45,1847.46,1846.71
2022-11-08 16:15:46,1845.8,1845.07
2022-11-08 16:15:47,1845.38,1844.65
2022-11-08 16:15:48,1846.39,1845.63
2022-11-08 16:15:49,1846.84,1846.08
2022-11-08 16:15:50,1847.5,1846.74
2022-11-08 16:15:51,1847.93,1847.18
2022-11-08 16:15:52,1846.02,1845.28
2022-11-08 16:15:53,1846.02,1845.28
2022-11-08 16:15:54,1845.54,1844.82
2022-11-08 16:15:55,1846.65,1845.92
2022-11-08 16:15:56,1848.2,1847.45
2022-11-08 16:15:57,1848.15,1847.41
2022-11-08 16:15:58,1847.55,1846.82
2022-11-08 16:15:59,1848.13,1847.38
2022-11-08 16:16:00,1848.08,1847.34
2022-11-08 16:16:01,1845.67,1844.94
2022-11-08 16:16:02,1845.66,1844.92
2022-11-08 16:16:03,1846.11,1845.35
2022-11-08 16:16:04,1845.25,1844.5
2022-11-08 16:16:05,1845.99,1845.24
2022-11-08 16:16:06,1845.61,1844.87
2022-11-08 16:16:07,1847.44,1846.69
2022-11-08 16:16:08,1846.32,1845.59
2022-11-08 16:16:09,1845.81,1845.08
2022-11-08 16:16:10,1846.54,1845.81
2022-11-08 16:16:11,1845.41,1844.68
2022-11-08 16:16:12,1845.62,1844.89
2022-11-08 16:16:13,1846.98,1846.22
2022-11-08 16:16:14,1846.35,1845.61
2022-11-08 16:16:15,1846.84,1846.09
2022-11-08 16:16:16,1845.61,1844.87
2022-11-08 16:16:17,1844.85,1844.11
2022-11-08 16:16:18,1843.33,1842.59
2022-11-08 16:16:19,1841.59,1840.84
2022-11-08 16:16:20,1842.53,1841.77
2022-11-08 16:16:21,1842.07,1841.3
2022-11-08 16:16:22,1841.3,1840.53
2022-11-08 16:16:23,1841.71,1840.94
2022-11-08 16:16:24,1840.74,1839.99
2022-11-08 16:16:25,1841.57,1840.81
2022-11-08 16:16:26,1842.22,1841.43
2022-11-08 16:16:27,1842.78,1842.03
2022-11-08 16:16:28,1843.34,1842.59
2022-11-08 16:16:29,1843.82,1843.08
2022-11-08 16:16:30,1843.7,1842.95
2022-11-08 16:16:31,1844.5,1843.77
2022-11-08 16:16:32,1844.56,1843.81
2022-11-08 16:16:33,1843.7,1842.94
2022-11-08 16:16:34,1843.25,1842.49
2022-11-08 16:16:35,1842.69,1841.94
2022-11-08 16:16:36,1842.75,1841.97
2022-11-08 16:16:37,1841.67,1840.91
2022-11-08 16:16:38,1842.69,1841.92
2022-11-08 16:16:39,1842.18,1841.41
2022-11-08 16:16:40,1842.63,1841.86
2022-11-08 16:16:41,1841.92,1841.15
2022-11-08 16:16:42,1841.67,1840.9
2022-11-08 16:16:43,1842.08,1841.32
2022-11-08 16:16:44,1842.28,1841.53
2022-11-08 16:16:45,1844.13,1843.37
2022-11-08 16:16:46,1844.53,1843.78
2022-11-08 16:16:47,1845.51,1844.75
2022-11-08 16:16:48,1845.14,1844.38
2022-11-08 16:16:49,1844.17,1843.41
2022-11-08 16:16:50,1843.68,1842.94
2022-11-08 16:16:51,1845.1,1844.34
2022-11-08 16:16:52,1845.36,1844.62
2022-11-08 16:16:53,1846.29,1845.53
2022-11-08 16:16:54,1846.14,1845.39
2022-11-08 16:16:55,1845.63,1844.88
2022-11-08 16:16:56,1846.01,1845.26
2022-11-08 16:16:57,1846.55,1845.81
2022-11-08 16:16:58,1847.37,1846.61
2022-11-08 16:16:59,1847.65,1846.89
2022-11-08 16:17:00,1845.55,1844.82
2022-11-08 16:17:01,1845.16,1844.43
2022-11-08 16:17:02,1846.29,1845.54
2022-11-08 16:17:03,1847.12,1846.36
2022-11-08 16:17:04,1847.1,1846.33
2022-11-08 16:17:05,1846.24,1845.49
2022-11-08 16:17:06,1845.92,1845.16
2022-11-08 16:17:07,1845.71,1844.95
2022-11-08 16:17:08,1845.05,1844.31
2022-11-08 16:17:09,1844.4,1843.65
2022-11-08 16:17:10,1844.43,1843.68
2022-11-08 16:17:11,1845.04,1844.27
2022-11-08 16:17:12,1844.43,1843.65
2022-11-08 16:17:13,1843.47,1842.7
2022-11-08 16:17:14,1843.37,1842.62
2022-11-08 16:17:15,1844.31,1843.56
2022-11-08 16:17:16,1844.1,1843.34
2022-11-08 16:17:17,1843.59,1842.84
2022-11-08 16:17:18,1844.59,1843.83
2022-11-08 16:17:19,1843.7,1842.94
2022-11-08 16:17:20,1844.88,1844.12
2022-11-08 16:17:21,1843.81,1843.05
2022-11-08 16:17:22,1842.24,1841.47
2022-11-08 16:17:23,1843.3,1842.54
2022-11-08 16:17:24,1842.5,1841.73
2022-11-08 16:17:25,1841.08,1840.32
2022-11-08 16:17:26,1840.92,1840.17
2022-11-08 16:17:27,1842.21,1841.47
2022-11-08 16:17:28,1842.38,1841.62
2022-11-08 16:17:29,1839.31,1838.58
2022-11-08 16:17:30,1841.39,1840.62
2022-11-08 16:17:31,1838.26,1837.52
2022-11-08 16:17:32,1838.15,1837.4
2022-11-08 16:17:33,1839.13,1838.36
2022-11-08 16:17:34,1839.35,1838.57
2022-11-08 16:17:35,1838.95,1838.19
2022-11-08 16:17:36,1839.85,1839.07
2022-11-08 16:17:37,1838.87,1838.12
2022-11-08 16:17:38,1839.98,1839.21
2022-11-08 16:17:39,1838.66,1837.89
2022-11-08 16:17:40,1838.95,1838.18
2022-11-08 16:17:41,1840.52,1839.74
2022-11-08 16:17:42,1839.39,1838.62
2022-11-08 16:17:43,1835.73,1834.98
2022-11-08 16:17:44,1838.29,1837.52
2022-11-08 16:17:45,1838.83,1838.05
2022-11-08 16:17:46,1839.41,1838.65
2022-11-08 16:17:47,1839.77,1839.0
2022-11-08 16:17:48,1839.23,1838.49
2022-11-08 16:17:49,1841.31,1840.56
2022-11-08 16:17:50,1841.17,1840.41
2022-11-08 16:17:51,1839.81,1839.06
2022-11-08 16:17:52,1839.33,1838.55
2022-11-08 16:17:53,1838.8,1838.02
2022-11-08 16:17:54,1838.12,1837.33
2022-11-08 16:17:55,1839.16,1838.39
2022-11-08 16:17:56,1838.31,1837.54
2022-11-08 16:17:57,1837.68,1836.9
2022-11-08 16:17:58,1837.63,1836.88
2022-11-08 16:17:59,1838.42,1837.64
2022-11-08 16:18:00,1839.89,1839.11
2022-11-08 16:18:01,1839.89,1839.13
2022-11-08 16:18:02,1839.36,1838.61
2022-11-08 16:18:03,1841.7,1840.93
2022-11-08 16:18:04,1843.61,1842.84
2022-11-08 16:18:05,1843.2,1842.42
2022-11-08 16:18:06,1840.98,1840.22
2022-11-08 16:18:07,1841.45,1840.7
2022-11-08 16:18:08,1842.95,1842.2
2022-11-08 16:18:09,1841.26,1840.5
2022-11-08 16:18:10,1842.09,1841.32
2022-11-08 16:18:11,1839.55,1838.8
2022-11-08 16:18:12,1839.73,1838.97
2022-11-08 16:18:13,1840.4,1839.62
2022-11-08 16:18:14,1837.08,1836.34
2022-11-08 16:18:15,1838.16,1837.4
2022-11-08 16:18:16,1838.01,1837.24
2022-11-08 16:18:17,1836.17,1835.42
2022-11-08 16:18:18,1839.25,1838.49
2022-11-08 16:18:19,1838.91,1838.16
2022-11-08 16:18:20,1840.19,1839.44
2022-11-08 16:18:21,1841.66,1840.91
2022-11-08 16:18:22,1841.39,1840.62
2022-11-08 16:18:23,1840.34,1839.58
2022-11-08 16:18:24,1841.37,1840.59
2022-11-08 16:18:25,1839.15,1838.4
2022-11-08 16:18:26,1840.01,1839.25
2022-11-08 16:18:27,1839.75,1838.98
2022-11-08 16:18:28,1839.8,1839.05
2022-11-08 16:18:29,1838.92,1838.17
2022-11-08 16:18:30,1840.75,1839.99
2022-11-08 16:18:31,1841.68,1840.91
2022-11-08 16:18:32,1842.5,1841.76
2022-11-08 16:18:33,1843.79,1843.03
2022-11-08 16:18:34,1843.69,1842.95
2022-11-08 16:18:35,1842.41,1841.69
2022-11-08 16:18:36,1841.04,1840.31
2022-11-08 16:18:37,1840.57,1839.84
2022-11-08 16:18:38,1839.44,1838.7
2022-11-08 16:18:39,1841.53,1840.79
2022-11-08 16:18:40,1840.97,1840.23
2022-11-08 16:18:41,1840.19,1839.42
2022-11-08 16:18:42,1839.17,1838.42
2022-11-08 16:18:43,1841.05,1840.29
2022-11-08 16:18:44,1840.7,1839.94
2022-11-08 16:18:45,1841.79,1841.03
2022-11-08 16:18:46,1843.44,1842.67
2022-11-08 16:18:47,1840.65,1839.92
2022-11-08 16:18:48,1841.79,1841.04
2022-11-08 16:18:49,1843.23,1842.48
2022-11-08 16:18:50,1843.7,1842.94
2022-11-08 16:18:51,1842.13,1841.36
2022-11-08 16:18:52,1840.58,1839.81
2022-11-08 16:18:53,1840.97,1840.22
2022-11-08 16:18:54,1840.89,1840.12
2022-11-08 16:18:55,1840.64,1839.89
2022-11-08 16:18:56,1842.31,1841.54
2022-11-08 16:18:57,1841.84,1841.08
2022-11-08 16:18:58,1840.46,1839.72
2022-11-08 16:18:59,1841.18,1840.42
2022-11-08 16:19:00,1840.21,1839.46
2022-11-08 16:19:01,1841.02,1840.27
2022-11-08 16:19:02,1840.62,1839.87
2022-11-08 16:19:03,1841.21,1840.44
2022-11-08 16:19:04,1841.23,1840.48
2022-11-08 16:19:05,1842.32,1841.58
2022-11-08 16:19:06,1843.66,1842.9
2022-11-08 16:19:07,1840.82,1840.1
2022-11-08 16:19:08,1842.44,1841.7
2022-11-08 16:19:09,1841.67,1840.93
2022-11-08 16:19:10,1842.93,1842.18
2022-11-08 16:19:11,1842.3,1841.56
2022-11-08 16:19:12,1842.27,1841.53
2022-11-08 16:19:13,1842.44,1841.71
2022-11-08 16:19:14,1843.23,1842.49
2022-11-08 16:19:15,1301.24,1299.13
2022-11-08 16:19:16,163.37,160.08
2022-11-08 16:19:17,164.01,160.74
2022-11-08 16:19:18,163.72,160.44
2022-11-08 16:19:19,163.06,159.86
2022-11-08 16:19:20,163.92,160.62
2022-11-08 16:19:21,163.85,160.58
2022-11-08 16:19:22,163.82,160.58
2022-11-08 16:19:23,163.93,160.62
2022-11-08 16:19:24,164.52,161.13
2022-11-08 16:19:25,161.8,158.35
2022-11-08 16:19:26,163.22,159.9
2022-11-08 16:19:27,163.83,160.48
2022-11-08 16:19:28,163.33,160.07
2022-11-08 16:19:29,163.86,160.48
2022-11-08 16:19:30,164.11,160.76
2022-11-08 16:19:31,163.39,160.08
2022-11-08 16:19:32,163.67,160.47
2022-11-08 16:19:33,163.0,159.7
2022-11-08 16:19:34,162.98,159.61
2022-11-08 16:19:35,162.95,159.61
2022-11-08 16:19:36,163.54,160.25
2022-11-08 16:19:37,163.76,160.48
2022-11-08 16:19:38,163.83,160.53
2022-11-08 16:19:39,163.73,160.43
2022-11-08 16:19:40,163.17,159.83
2022-11-08 16:19:41,163.33,160.05
2022-11-08 16:19:42,163.8,160.5
2022-11-08 16:19:43,164.22,160.88
2022-11-08 16:19:44,163.19,159.78
2022-11-08 16:19:45,162.85,159.48
2022-11-08 16:19:46,163.89,160.59
2022-11-08 16:19:47,164.18,160.84
2022-11-08 16:19:48,164.79,161.44
2022-11-08 16:19:49,163.64,160.22
2022-11-08 16:19:50,164.15,160.84
2022-11-08 16:19:51,164.05,160.78
2022-11-08 16:19:52,163.76,160.43
2022-11-08 16:19:53,164.46,161.18
2022-11-08 16:19:54,163.81,160.47
2022-11-08 16:19:55,162.78,159.51
2022-11-08 16:19:56,162.77,159.57
2022-11-08 16:19:57,163.04,159.83
2022-11-08 16:19:58,164.19,160.95
2022-11-08 16:19:59,163.77,160.56
2022-11-08 16:20:00,163.62,160.38
2022-11-08 16:20:01,164.08,160.91
2022-11-08 16:20:02,163.67,160.38
2022-11-08 16:20:03,164.67,161.42
2022-11-08 16:20:04,164.26,161.03
2022-11-08 16:20:05,163.88,160.62
2022-11-08 16:20:06,162.52,159.18
2022-11-08 16:20:07,163.9,160.59
2022-11-08 16:20:08,174.94,170.91
2022-11-08 16:20:09,185.73,181.61
2022-11-08 16:20:10,184.94,180.89
2022-11-08 16:20:11,184.13,180.04
2022-11-08 16:20:12,649.45,646.22
2022-11-08 16:20:13,1950.31,1950.01
2022-11-08 16:20:14,1931.98,1931.68
2022-11-08 16:20:15,1916.91,1916.62
2022-11-08 16:20:16,1889.03,1888.31
2022-11-08 16:20:17,1877.86,1877.09
2022-11-08 16:20:18,1869.43,1868.67
2022-11-08 16:20:19,1863.93,1863.17
2022-11-08 16:20:20,682.46,677.86
2022-11-08 16:20:21,170.14,158.2
2022-11-08 16:20:22,429.45,423.41
2022-11-08 16:20:23,176.49,172.22
2022-11-08 16:20:24,176.07,171.79
2022-11-08 16:20:25,176.25,171.85
2022-11-08 16:20:26,175.46,171.08
2022-11-08 16:20:27,175.19,170.82
2022-11-08 16:20:28,175.77,171.11
2022-11-08 16:20:29,175.26,170.35
2022-11-08 16:20:30,83.89,76.3
2022-11-08 16:20:31,720.58,708.94
2022-11-08 16:20:32,1942.12,1941.9
2022-11-08 16:20:33,1922.16,1921.94
2022-11-08 16:20:34,1910.28,1910.06
2022-11-08 16:20:35,1898.73,1898.5
2022-11-08 16:20:36,1889.45,1889.22
2022-11-08 16:20:37,1884.13,1883.9
2022-11-08 16:20:38,1877.81,1877.58
2022-11-08 16:20:39,1873.25,1873.02
2022-11-08 16:20:40,1862.28,1861.75
2022-11-08 16:20:41,1851.57,1850.83
2022-11-08 16:20:42,1850.26,1849.53
2022-11-08 16:20:43,1851.79,1851.06
2022-11-08 16:20:44,1852.57,1851.82
2022-11-08 16:20:45,1853.0,1852.25
2022-11-08 16:20:46,1851.31,1850.56
2022-11-08 16:20:47,1851.59,1850.83
2022-11-08 16:20:48,1850.05,1849.3
2022-11-08 16:20:49,1846.18,1845.44
2022-11-08 16:20:50,1843.3,1842.55
2022-11-08 16:20:51,1841.27,1840.53
2022-11-08 16:20:52,1840.99,1840.23
2022-11-08 16:20:53,1840.64,1839.9
2022-11-08 16:20:54,1843.27,1842.52
2022-11-08 16:20:55,1846.16,1845.43
2022-11-08 16:20:56,1849.34,1848.63
2022-11-08 16:20:57,1848.54,1847.83
2022-11-08 16:20:58,1851.64,1850.92
2022-11-08 16:20:59,1851.7,1850.97
2022-11-08 16:21:00,1851.94,1851.21
2022-11-08 16:21:01,1851.96,1851.22
2022-11-08 16:21:02,4195.22,4180.93
2022-11-08 16:21:03,5310.06,5305.74
2022-11-08 16:21:04,5289.56,5285.52
2022-11-08 16:21:05,5282.56,5278.5
2022-11-08 16:21:06,5278.36,5274.41
2022-11-08 16:21:07,5274.76,5270.86
2022-11-08 16:21:08,5275.07,5271.16
2022-11-08 16:21:09,5274.77,5270.76
2022-11-08 16:21:10,5275.29,5271.44
2022-11-08 16:21:11,5272.21,5268.18
2022-11-08 16:21:12,5267.26,5263.43
2022-11-08 16:21:13,5261.94,5257.94
2022-11-08 16:21:14,5257.56,5253.68
2022-11-08 16:21:15,5255.1,5251.16
2022-11-08 16:21:16,5254.57,5250.66
2022-11-08 16:21:17,5256.01,5252.08
2022-11-08 16:21:18,5258.84,5254.79
2022-11-08 16:21:19,5263.8,5259.92
2022-11-08 16:21:20,5265.25,5261.28
2022-11-08 16:21:21,5267.27,5263.31
2022-11-08 16:21:22,5268.77,5264.79
2022-11-08 16:21:23,5264.95,5261.02
2022-11-08 16:21:24,5263.06,5259.09
2022-11-08 16:21:25,5260.07,5256.14
2022-11-08 16:21:26,5250.33,5246.41
2022-11-08 16:21:27,5251.02,5247.03
2022-11-08 16:21:28,5253.22,5249.35
2022-11-08 16:21:29,5254.5,5250.58
2022-11-08 16:21:30,5256.31,5252.36
2022-11-08 16:21:31,5254.63,5250.67
2022-11-08 16:21:32,5253.72,5249.75
2022-11-08 16:21:33,5250.38,5246.36
2022-11-08 16:21:34,5248.97,5244.89
2022-11-08 16:21:35,5243.62,5239.55
2022-11-08 16:21:36,5240.4,5236.46
2022-11-08 16:21:37,5244.12,5240.01
2022-11-08 16:21:38,5250.31,5246.36
2022-11-08 16:21:39,5252.25,5248.18
2022-11-08 16:21:40,5257.32,5253.42
2022-11-08 16:21:41,5259.69,5255.57
2022-11-08 16:21:42,5261.01,5257.08
2022-11-08 16:21:43,5260.17,5256.06
2022-11-08 16:21:44,5259.32,5255.43
2022-11-08 16:21:45,5255.17,5251.15
2022-11-08 16:21:46,5249.48,5245.42
2022-11-08 16:21:47,5248.35,5244.47
2022-11-08 16:21:48,5246.74,5242.7
2022-11-08 16:21:49,5249.0,5244.95
2022-11-08 16:21:50,5252.15,5248.22
2022-11-08 16:21:51,5254.91,5250.81
2022-11-08 16:21:52,5256.63,5252.68
2022-11-08 16:21:53,5254.15,5250.17
2022-11-08 16:21:54,5256.7,5252.63
2022-11-08 16:21:55,5258.64,5254.71
2022-11-08 16:21:56,5255.96,5251.98
2022-11-08 16:21:57,5249.98,5246.01
2022-11-08 16:21:58,5248.14,5244.12
2022-11-08 16:21:59,5244.72,5240.75
2022-11-08 16:22:00,5251.02,5247.0
2022-11-08 16:22:01,5253.19,5249.14
2022-11-08 16:22:02,5256.44,5252.44
2022-11-08 16:22:03,5260.16,5256.23
2022-11-08 16:22:04,5260.67,5256.69
2022-11-08 16:22:05,5259.81,5255.77
2022-11-08 16:22:06,5255.85,5251.81
2022-11-08 16:22:07,5251.27,5247.25
2022-11-08 16:22:08,5248.99,5245.0
2022-11-08 16:22:09,5245.83,5241.82
2022-11-08 16:22:10,5246.03,5241.96
2022-11-08 16:22:11,5251.17,5247.15
2022-11-08 16:22:12,5252.92,5249.0
2022-11-08 16:22:13,5258.68,5254.64
2022-11-08 16:22:14,5261.85,5257.78
2022-11-08 16:22:15,5267.03,5262.95
2022-11-08 16:22:16,5266.01,5261.99
2022-11-08 16:22:17,5261.25,5257.17
2022-11-08 16:22:18,5257.26,5253.17
2022-11-08 16:22:19,4704.97,4700.31
2022-11-08 16:22:20,3633.99,3628.46
2022-11-08 16:22:21,3634.66,3629.08
2022-11-08 16:22:22,3636.62,3631.05
2022-11-08 16:22:23,3640.22,3634.69
2022-11-08 16:22:24,3638.95,3633.47
2022-11-08 16:22:25,3637.46,3631.78
2022-11-08 16:22:26,3636.78,3631.3
2022-11-08 16:22:27,3636.19,3630.62
2022-11-08 16:22:28,3634.01,3628.4
2022-11-08 16:22:29,3633.96,3628.35
2022-11-08 16:22:30,3633.55,3627.82
2022-11-08 16:22:31,3634.66,3629.18
2022-11-08 16:22:32,3634.69,3629.1
2022-11-08 16:22:33,3633.05,3627.56
2022-11-08 16:22:34,3632.99,3627.48
2022-11-08 16:22:35,3632.6,3626.99
2022-11-08 16:22:36,3631.97,3626.5
2022-11-08 16:22:37,3633.88,3628.32
2022-11-08 16:22:38,3635.32,3629.8
2022-11-08 16:22:39,3633.54,3627.79
2022-11-08 16:22:40,3632.26,3626.68
2022-11-08 16:22:41,3629.82,3624.1
2022-11-08 16:22:42,3629.49,3623.97
2022-11-08 16:22:43,3628.88,3623.34
2022-11-08 16:22:44,3632.86,3627.32
2022-11-08 16:22:45,3633.83,3628.29
2022-11-08 16:22:46,3634.0,3628.34
2022-11-08 16:22:47,3634.51,3628.9
2022-11-08 16:22:48,3635.14,3629.52
2022-11-08 16:22:49,3633.86,3628.29
2022-11-08 16:22:50,3631.99,3626.45
2022-11-08 16:22:51,3634.18,3628.53
2022-11-08 16:22:52,3634.37,3628.65
2022-11-08 16:22:53,3635.27,3629.65
2022-11-08 16:22:54,3638.67,3633.06
2022-11-08 16:22:55,3638.57,3632.98
2022-11-08 16:22:56,3641.54,3635.87
2022-11-08 16:22:57,3640.55,3634.87
2022-11-08 16:22:58,3636.69,3630.96
2022-11-08 16:22:59,3635.21,3629.48
2022-11-08 16:23:00,3632.72,3627.0
2022-11-08 16:23:01,3630.35,3624.56
2022-11-08 16:23:02,3627.86,3621.98
2022-11-08 16:23:03,3626.96,3621.31
2022-11-08 16:23:04,3631.33,3625.6
2022-11-08 16:23:05,3630.84,3625.2
2022-11-08 16:23:06,3633.71,3628.21
2022-11-08 16:23:07,3633.87,3628.2
2022-11-08 16:23:08,3634.78,3629.0
2022-11-08 16:23:09,3632.59,3627.11
2022-11-08 16:23:10,3629.77,3624.15
2022-11-08 16:23:11,3627.86,3622.12
2022-11-08 16:23:12,3626.68,3621.09
2022-11-08 16:23:13,3627.86,3622.27
2022-11-08 16:23:14,3627.24,3621.41
2022-11-08 16:23:15,3628.54,3622.83
2022-11-08 16:23:16,3630.16,3624.6
2022-11-08 16:23:17,4134.45,4127.96
