Timestamp,Active (W)
2022-09-27 15:52:32,0.0
2022-09-27 15:52:33,0.0
2022-09-27 15:52:34,0.0
2022-09-27 15:52:35,0.0
2022-09-27 15:52:36,0.0
2022-09-27 15:52:37,0.0
2022-09-27 15:52:38,0.0
2022-09-27 15:52:39,0.0
2022-09-27 15:52:40,0.0
2022-09-27 15:52:41,0.0
2022-09-27 15:52:42,0.0
2022-09-27 15:52:43,0.0
2022-09-27 15:52:44,0.0
2022-09-27 15:52:45,0.0
2022-09-27 15:52:46,0.0
2022-09-27 15:52:47,0.0
2022-09-27 15:52:48,0.0
2022-09-27 15:52:49,0.0
2022-09-27 15:52:50,0.0
2022-09-27 15:52:51,0.0
2022-09-27 15:52:52,0.0
2022-09-27 15:52:53,0.0
2022-09-27 15:52:54,0.0
2022-09-27 15:52:55,0.0
2022-09-27 15:52:56,0.0
2022-09-27 15:52:57,0.0
2022-09-27 15:52:58,0.0
2022-09-27 15:52:59,0.0
2022-09-27 15:53:00,0.0
2022-09-27 15:53:01,0.0
2022-09-27 15:53:02,0.0
2022-09-27 15:53:03,0.0
2022-09-27 15:53:04,0.0
2022-09-27 15:53:05,0.0
2022-09-27 15:53:06,0.0
2022-09-27 15:53:07,0.0
2022-09-27 15:53:08,0.0
2022-09-27 15:53:09,0.0
2022-09-27 15:53:10,0.0
2022-09-27 15:53:11,0.0
2022-09-27 15:53:12,0.0
2022-09-27 15:53:13,0.0
2022-09-27 15:53:14,0.0
2022-09-27 15:53:15,0.0
2022-09-27 15:53:16,0.0
2022-09-27 15:53:17,0.0
2022-09-27 15:53:18,0.0
2022-09-27 15:53:19,0.0
2022-09-27 15:53:20,0.0
2022-09-27 15:53:21,0.0
2022-09-27 15:53:22,0.0
2022-09-27 15:53:23,0.0
2022-09-27 15:53:24,0.0
2022-09-27 15:53:25,0.0
2022-09-27 15:53:26,0.0
2022-09-27 15:53:27,0.0
2022-09-27 15:53:28,0.0
2022-09-27 15:53:29,0.0
2022-09-27 15:53:30,0.0
2022-09-27 15:53:31,0.0
2022-09-27 15:53:32,0.0
